study_id,participant_id,occasion,academic_confidence
SWL-S03,S03-001,pre,47
SWL-S03,S03-001,post,46
SWL-S03,S03-002,pre,49
SWL-S03,S03-002,post,50
SWL-S03,S03-003,pre,50
SWL-S03,S03-003,post,52
SWL-S03,S03-004,pre,52
SWL-S03,S03-004,post,55
SWL-S03,S03-005,pre,53
SWL-S03,S03-005,post,57
SWL-S03,S03-006,pre,54
SWL-S03,S03-006,post,59
SWL-S03,S03-007,pre,55
SWL-S03,S03-007,post,61
SWL-S03,S03-008,pre,56
SWL-S03,S03-008,post,63
SWL-S03,S03-009,pre,57
SWL-S03,S03-009,post,65
SWL-S03,S03-010,pre,58
SWL-S03,S03-010,post,67
SWL-S03,S03-011,pre,60
SWL-S03,S03-011,post,60
SWL-S03,S03-012,pre,62
SWL-S03,S03-012,post,68
SWL-S03,S03-013,pre,47
SWL-S03,S03-013,post,46
SWL-S03,S03-014,pre,49
SWL-S03,S03-014,post,50
SWL-S03,S03-015,pre,50
SWL-S03,S03-015,post,52
SWL-S03,S03-016,pre,52
SWL-S03,S03-016,post,55
SWL-S03,S03-017,pre,53
SWL-S03,S03-017,post,57
SWL-S03,S03-018,pre,54
SWL-S03,S03-018,post,59
SWL-S03,S03-019,pre,55
SWL-S03,S03-019,post,61
SWL-S03,S03-020,pre,56
SWL-S03,S03-020,post,63
SWL-S03,S03-021,pre,57
SWL-S03,S03-021,post,65
SWL-S03,S03-022,pre,58
SWL-S03,S03-022,post,67
SWL-S03,S03-023,pre,60
SWL-S03,S03-023,post,60
SWL-S03,S03-024,pre,62
SWL-S03,S03-024,post,68
SWL-S03,S03-025,pre,47
SWL-S03,S03-025,post,46
SWL-S03,S03-026,pre,49
SWL-S03,S03-026,post,50
SWL-S03,S03-027,pre,50
SWL-S03,S03-027,post,52
SWL-S03,S03-028,pre,52
SWL-S03,S03-028,post,55
SWL-S03,S03-029,pre,53
SWL-S03,S03-029,post,57
SWL-S03,S03-030,pre,54
SWL-S03,S03-030,post,59
SWL-S03,S03-031,pre,55
SWL-S03,S03-031,post,61
SWL-S03,S03-032,pre,56
SWL-S03,S03-032,post,63
SWL-S03,S03-033,pre,57
SWL-S03,S03-033,post,65
SWL-S03,S03-034,pre,58
SWL-S03,S03-034,post,67
SWL-S03,S03-035,pre,60
SWL-S03,S03-035,post,60
SWL-S03,S03-036,pre,62
SWL-S03,S03-036,post,68
SWL-S03,S03-037,pre,47
SWL-S03,S03-037,post,46
SWL-S03,S03-038,pre,49
SWL-S03,S03-038,post,50
SWL-S03,S03-039,pre,50
SWL-S03,S03-039,post,52
SWL-S03,S03-040,pre,52
SWL-S03,S03-040,post,55
SWL-S03,S03-041,pre,53
SWL-S03,S03-041,post,57
SWL-S03,S03-042,pre,54
SWL-S03,S03-042,post,59
SWL-S03,S03-043,pre,55
SWL-S03,S03-043,post,61
SWL-S03,S03-044,pre,56
SWL-S03,S03-044,post,63
SWL-S03,S03-045,pre,57
SWL-S03,S03-045,post,65
SWL-S03,S03-046,pre,58
SWL-S03,S03-046,post,67
SWL-S03,S03-047,pre,60
SWL-S03,S03-047,post,60
SWL-S03,S03-048,pre,62
SWL-S03,S03-048,post,68
